model,timeframe,dtype,coef,ci_lower,ci_upper,se
arrhenius_1896,1896-2024,model_time,0.0011333333333333328,0.0011333333333333295,0.001133333333333336,1.6594931211512823e-18
arrhenius_1896,1896-2024,model_forcing,1.5675426463808173,1.5675213374067287,1.567563955354906,1.0871925555400628e-05
callendar_1938,1920-2024,model_time,0.002442851959361396,0.0022273034406160345,0.0026584004781067577,0.00010997373405375594
callendar_1938,1920-2024,model_forcing,0.35066563874567613,0.32370124575281195,0.3776300317385403,0.013757343363706216
plass_1953,1953-2024,model_time,0.029606299212598303,0.029606299212598185,0.02960629921259842,6.018428386041984e-17
plass_1953,1953-2024,model_forcing,1.0134770889487896,1.0134770889487892,1.01347708894879,2.2657612747452175e-16
plass_1956,1900-2000,model_time,0.010999999999999985,0.010999999999999928,0.011000000000000043,2.920707893226257e-17
plass_1956,1900-2000,model_forcing,0.7836718047437842,0.7836718047434484,0.7836718047441199,1.7129155237073844e-13
plass_1959,1952-2000,model_time,0.029166666666666605,0.02916666666666627,0.029166666666666938,1.699320956058913e-16
plass_1959,1952-2000,model_forcing,0.803279388265656,0.8032690610566351,0.803289715474677,5.268984194359113e-06
kondratiev_1960_lower,1960-2000,model_time,0.0010531711434569994,0.0010531711434569955,0.0010531711434570033,1.991391745381539e-18
kondratiev_1960_lower,1960-2000,model_forcing,0.135135135135135,0.13510657360951392,0.1351636966607561,1.4572206949533018e-05
kondratiev_1960_median,1960-2000,model_time,0.0013053873874204463,0.0013053873874204424,0.0013053873874204502,1.991391745381539e-18
kondratiev_1960_median,1960-2000,model_forcing,0.1351351351351352,0.13513513513513517,0.13513513513513523,1.416100796715761e-17
kondratiev_1960_upper,1960-2000,model_time,0.001557603631383893,0.0015576036313838832,0.0015576036313839027,4.978479363453847e-18
kondratiev_1960_upper,1960-2000,model_forcing,0.1351351351351353,0.13513513513513528,0.13513513513513534,1.416100796715761e-17
wilkins_1961_lower,1961-2024,model_time,0.005559999999999953,0.00555999999999989,0.005560000000000016,3.2304799425078296e-17
wilkins_1961_lower,1961-2024,model_forcing,0.26806723142574773,0.2602913502420258,0.27584311260946964,0.003967286318225465
wilkins_1961_median,1961-2024,model_time,0.008334999999999922,0.008334999999999797,0.008335000000000047,6.372453585220925e-17
wilkins_1961_median,1961-2024,model_forcing,0.4018597794844614,0.3917983106931638,0.411921248275759,0.005133402444539592
wilkins_1961_upper,1961-2024,model_time,0.01110999999999989,0.0111099999999998,0.011109999999999981,4.602327589326223e-17
wilkins_1961_upper,1961-2024,model_forcing,0.535652327543175,0.5245068722515035,0.5467977828348466,0.005686456781465075
psac_1965,1860-2000,model_time,0.02282780889303637,-0.005849156031884479,0.05150477381795722,0.014631104553531045
psac_1965,1860-2000,model_forcing,3.3801915374654747,3.3801768242421923,3.380206250688757,7.506746572649034e-06
sargent_1967_lower,1967-2000,model_time,0.07272727272727322,0.07272727272727145,0.072727272727275,9.06304509898087e-16
sargent_1967_lower,1967-2000,model_forcing,1.3402699853114735,1.340269985311473,1.340269985311474,2.2657612747452175e-16
sargent_1967_average,1967-2000,model_time,0.07272727272727322,0.07272727272727145,0.072727272727275,9.06304509898087e-16
sargent_1967_average,1967-2000,model_forcing,1.6403316664556153,1.640331666455615,1.6403316664556158,2.2657612747452175e-16
sargent_1967_upper,1967-2000,model_time,0.07272727272727322,0.07272727272727145,0.072727272727275,9.06304509898087e-16
sargent_1967_upper,1967-2000,model_forcing,2.1397176000738587,2.1397176000738583,2.139717600073859,2.2657612747452175e-16
fletcher_1969_lower,1969-2000,model_time,0.048387096774194394,0.048387096774192964,0.04838709677419582,7.292919103086169e-16
fletcher_1969_lower,1969-2000,model_forcing,0.6687265687456638,0.6687146208874303,0.6687385166038974,6.095846037526496e-06
fletcher_1969_average,1969-2000,model_time,0.048387096774194394,0.048387096774192964,0.04838709677419582,7.292919103086169e-16
fletcher_1969_average,1969-2000,model_forcing,0.7935000658360586,0.7935000658360583,0.7935000658360589,1.699320956058913e-16
fletcher_1969_upper,1969-2000,model_time,0.048387096774194394,0.048387096774192964,0.04838709677419582,7.292919103086169e-16
fletcher_1969_upper,1969-2000,model_forcing,0.9805662324539316,0.9805662324539314,0.9805662324539318,1.1328806373726087e-16
peterson_1969,1950-2020,model_time,0.026319025262687618,0.01695309420774082,0.035684956317634416,0.004778536252523877
peterson_1969,1950-2020,model_forcing,0.6649152949974549,0.663823198600417,0.6660073913944928,0.0005571920393050456
tilson_1969,1952-2000,model_time,0.029166666666666605,0.02916666666666627,0.029166666666666938,1.699320956058913e-16
tilson_1969,1952-2000,model_forcing,0.803279388265656,0.8032690610566351,0.803289715474677,5.268984194359113e-06
austin_1970,1970-2024,model_time,0.05404301882605901,0.04262368245307996,0.06546235519903806,0.005826192027030129
austin_1970,1970-2024,model_forcing,0.4902676399026765,0.4902676399026764,0.49026763990267663,5.664403186863044e-17
barrett_1970,1970-2024,model_time,0.005882352941176433,0.005882352941176335,0.005882352941176531,5.000605938402531e-17
barrett_1970,1970-2024,model_forcing,0.5393252489304535,0.5393252489304534,0.5393252489304536,5.664403186863044e-17
benton_1970,1970-2000,model_time,0.019951612903225932,0.019772547832459443,0.02013067797399242,9.135972998290254e-05
