coef_mean,coef_sd,ci_mean,coef_low,coef_high,timeframe
0.00481957362330301,0.0007081127105368917,0.0013976432166436922,0.0028498844335141144,0.006789262813091905,1860-2000
0.007056386442950223,0.0006571502809095521,0.0028674542094896515,0.003912936884577649,0.010199836001322796,1860-2024
0.009561534992301264,0.0007213453733151347,0.002511369301447531,0.006679537310538608,0.01244353267406392,1896-2024
0.007106127196323213,0.000862243220693491,0.0013604268131984655,0.004936599597390584,0.009275654795255842,1900-2000
0.010949872630572764,0.0007953027423435393,0.004797997985083452,0.005905011735484774,0.015994733525660755,1920-2024
0.011288134759372044,0.0008566204491485852,0.004852632231032793,0.006153254016065273,0.016423015502678814,1925-2024
0.014942983674349618,0.0009020921011345966,0.0024176020295751913,0.0119478244104791,0.017938142938220138,1950-2020
0.011530018898209149,0.0013307318099665187,0.0029181222947966034,0.0076161558271440576,0.01544388196927424,1952-2000
0.016366920409691007,0.0008160406881825318,0.0019107572986765211,0.013875093576901898,0.018858747242480114,1953-2024
0.014325955890217854,0.0012661772701112672,0.002968141874887701,0.010457010548918873,0.018194901231516833,1960-2000
0.018313581229760494,0.0007724574640787645,0.0015442939186814187,0.016150923128727245,0.020476239330793743,1961-2024
0.016794819508426415,0.0009830011348898728,0.004455740512226541,0.011940365068836452,0.021649273948016377,1967-2000
0.01691973744251324,0.0009998017971146785,0.004736603192573345,0.01179377537453006,0.022045699510496418,1969-2000
0.017472117769798522,0.0010200304882424561,0.004808222504116427,0.012264811054722843,0.0226794244848742,1970-2000
0.018202752774973983,0.0009492210281590856,0.002950899261363472,0.01471431945395986,0.021691186095988108,1970-2010
0.019268702007927657,0.0008029532887117788,0.0020982420390469373,0.01664583530777041,0.021891568708084903,1970-2020
0.02002045302246016,0.0007640278164739212,0.001986812402696628,0.017532499373011604,0.022508406671908714,1970-2024
0.017725657906573787,0.0010261158514400215,0.00478713305105112,0.012533209902571762,0.02291810591057581,1971-2000
0.020177117234017626,0.0007760076003029678,0.001983647904902753,0.017677472529925933,0.02267676193810932,1971-2024
0.017701754065461768,0.0009866192123668648,0.00256500932516644,0.014489472416578072,0.020914035714345466,1974-2014
0.020488366026696812,0.0008053749203732875,0.0020793708634184896,0.01787770414871643,0.023099027904677195,1974-2024
0.01680646628972621,0.0010983789423933878,0.005869053413866074,0.010555031760828646,0.023057900818623776,1975-2000
0.020282029245706986,0.0008239639477523404,0.002169276307337031,0.017577609592815725,0.022986448898598247,1975-2024
0.020085937592356426,0.0008731559206080201,0.0024643533467821723,0.01708562459123209,0.02308625059348076,1978-2024
0.0200866182515726,0.0008873932889190335,0.0024692320040374566,0.01706631374081201,0.02310692276233319,1979-2024
0.013476306919934402,0.0014230133554775624,0.008823838735185325,0.00422215956376679,0.022730454276102013,1980-2000
0.016930809954677536,0.0012416048850177532,0.00411788724336865,0.012147595615666282,0.02171402429368879,1980-2010
0.02030890706858365,0.0008930740943843788,0.002536145387231487,0.01722734546876633,0.02339046866840097,1980-2024
0.020797980525225607,0.0009075803078640064,0.002572228402785882,0.01767057063559213,0.023925390414859082,1981-2024
0.021386470675524353,0.0009516893487063147,0.002939984885101697,0.01790467563389046,0.024868265717158246,1983-2024
0.021845048387462283,0.0009778749351181345,0.00330224026403318,0.018026897002674624,0.025663199772249942,1985-2024
0.021603358826354738,0.0009824777745852198,0.003389493158002504,0.017705049374030956,0.02550166827867852,1987-2024
0.022068125879078276,0.0009861989089671472,0.0033861287475324725,0.018169130744145303,0.02596712101401125,1988-2024
0.022669555384523737,0.0010054516565906804,0.003673573095168929,0.018500773832562992,0.02683833693648448,1989-2024
0.02273953184868338,0.001024706217002818,0.0037346040203097754,0.018499126809454883,0.02697993688791188,1990-2024
0.023630744705340198,0.0010593873549289675,0.0038154103752353276,0.019286922651635643,0.027974566759044753,1991-2024
0.024433405609842543,0.0011173389650810353,0.004155084790891042,0.019736517153942618,0.029130294065742468,1992-2024
0.02338478721086731,0.0011340736424138458,0.00473156503750907,0.018157122538906716,0.028612451882827905,1995-2024
0.02588754680307675,0.001062145137145424,0.006900431734335934,0.018679921121441567,0.03309517248471193,2000-2024
